t,v,r
79.000000,47870.000001,57909000001.525436
80.000000,47870.000001,57909000001.544258
81.000000,47870.000001,57909000001.563065
82.000000,47870.000001,57909000001.581863
83.000000,47870.000001,57909000001.600647
84.000000,47870.000001,57909000001.619415
85.000000,47870.000001,57909000001.638176
86.000000,47870.000001,57909000001.656921
87.000000,47870.000001,57909000001.675659
88.000000,47870.000001,57909000001.694382
89.000000,47870.000001,57909000001.713089
90.000000,47870.000002,57909000001.731789
91.000000,47870.000002,57909000001.750473
92.000000,47870.000002,57909000001.769150
93.000000,47870.000002,57909000001.787811
94.000000,47870.000002,57909000001.806458
95.000000,47870.000002,57909000001.825104
96.000000,47870.000002,57909000001.843719
97.000000,47870.000002,57909000001.862335
98.000000,47870.000002,57909000001.880936
99.000000,47870.000002,57909000001.899529
100.000000,47870.000002,57909000001.918106
101.000000,47870.000002,57909000001.936661
102.000000,47870.000002,57909000001.955215
103.000000,47870.000002,57909000001.973763
104.000000,47870.000002,57909000001.992287
105.000000,47870.000002,57909000002.010803
106.000000,47870.000002,57909000002.029305
107.000000,47870.000002,57909000002.047798
108.000000,47870.000002,57909000002.066269
109.000000,47870.000002,57909000002.084740
110.000000,47870.000002,57909000002.103195
111.000000,47870.000002,57909000002.121635
112.000000,47870.000002,57909000002.140060
113.000000,47870.000002,57909000002.158478
114.000000,47870.000002,57909000002.176895
115.000000,47870.000002,57909000002.195282
116.000000,47870.000002,57909000002.213661
117.000000,47870.000002,57909000002.232025
118.000000,47870.000002,57909000002.250389
119.000000,47870.000002,57909000002.268738
120.000000,47870.000002,57909000002.287064
121.000000,47870.000002,57909000002.305382
122.000000,47870.000002,57909000002.323692
123.000000,47870.000002,57909000002.341980
124.000000,47870.000002,57909000002.360268
125.000000,47870.000002,57909000002.378540
126.000000,47870.000002,57909000002.396805
127.000000,47870.000002,57909000002.415047
128.000000,47870.000002,57909000002.433281
129.000000,47870.000002,57909000002.451500
130.000000,47870.000002,57909000002.469711
131.000000,47870.000002,57909000002.487915
132.000000,47870.000002,57909000002.506096
133.000000,47870.000002,57909000002.524269
134.000000,47870.000002,57909000002.542435
135.000000,47870.000002,57909000002.560585
136.000000,47870.000002,57909000002.578720
137.000000,47870.000002,57909000002.596848
138.000000,47870.000002,57909000002.614952
139.000000,47870.000002,57909000002.633057
140.000000,47870.000002,57909000002.651146
141.000000,47870.000002,57909000002.669220
142.000000,47870.000002,57909000002.687286
143.000000,47870.000002,57909000002.705322
144.000000,47870.000002,57909000002.723366
145.000000,47870.000002,57909000002.741402
146.000000,47870.000002,57909000002.759415
